"","pos_team","athlete_id","kicker_player_name","category","kicking_fgm","kicking_fga","kicking_xpa","kicking_xpm","kicking_pts","kicking_long"
"1","Ole Miss","4373693","Jonathan Cruz","kicking",4,5,30,30,42,53
"2","Western Kentucky","4361765","Brayden Narveson","kicking",7,9,32,32,53,47
"3","Oregon State","4892332","Atticus Sappington","kicking",4,5,7,6,18,40
"4","Tulane","4698102","Valentino Ambrosio","kicking",1,1,3,3,6,42
"5","Central Michigan","4695678","Marshall Meeder","kicking",2,6,8,7,13,48
"6","Minnesota","4362360","Matthew Trickett","kicking",6,7,25,25,43,46
"7","California","4372718","Dario Longhetto","kicking",6,8,15,15,33,42
"8","New Mexico","5082358","Luke Drzewiecki","kicking",1,3,4,4,7,37
"9","Clemson","4683923","Banks Pope","kicking",0,0,1,1,1,0
"10","James Madison","4366638","Camden Wise","kicking",2,6,29,29,35,27
"11","UT San Antonio","4245202","Jared Sackett","kicking",6,8,23,23,41,43
"12","UAB","4570113","Matthew Quinn","kicking",4,7,21,21,33,51
"13","Arkansas State","5082424","Dominic Zvada","kicking",9,9,21,21,48,46
"14","TCU","4574573","Griffin Kell","kicking",2,2,25,23,29,39
"15","Syracuse","4258620","Andre Szmyt","kicking",10,11,22,22,52,50
"16","Tulane","4687039","Kriston Esnard","kicking",3,6,20,20,29,30
"17","South Alabama","4429715","Diego Guajardo","kicking",7,7,21,20,41,48
"18","Louisiana Tech","4882138","Buck Buchanan","kicking",1,2,0,0,3,52
"19","Florida State","4568263","Ryan Fitzgerald","kicking",5,10,22,21,36,47
"20","Miami","4569923","Andres Borregales","kicking",8,11,20,20,44,48
"21","Florida","4875192","Adam Mihalek","kicking",5,9,20,20,35,50
"22","South Carolina","4427459","Alex Herrera","kicking",0,0,3,3,3,0
"23","Wisconsin","4878487","Nate Van Zelst","kicking",2,3,14,14,20,39
"24","Vanderbilt","4241452","Joseph Bulovas","kicking",5,5,23,23,38,40
"25","Arkansas","4686361","Cam Little","kicking",5,7,22,22,37,51
"26","Northwestern","4566164","Jack Olsen","kicking",0,1,1,1,1,0
"27","Georgia State","4568415","Michael Hayes","kicking",4,6,15,14,26,46
"28","New Mexico State","4572467","Ethan Albertson","kicking",1,4,3,2,5,46
"29","Air Force","4697146","Anth Rodriguez","kicking",0,0,6,6,6,0
"30","Kent State","4875739","Andrew Glass","kicking",7,10,13,13,34,50
"31","Texas Tech","4362170","Trey Wolff","kicking",8,11,18,18,42,51
"32","Louisiana","4393431","Preston Stafford","kicking",2,4,13,13,19,36
"33","Iowa State","4917269","Jace Gilbert","kicking",9,12,14,14,41,44
