"","id_play","Week","game_id","pos_team","def_pos_team","pos_team_score","def_pos_team_score","kicker_player_name","yds_fg","pts_scored","fgm","fga","fg_make_prob","fg_inds","FG_before","play_text","EPA","wpa","half","period","clock.minutes","clock.seconds","down","distance","yards_to_goal","fg_made","play_type"
"1","401403916102935301",7,401403916,"Arkansas","BYU",17,21,"Cam Little",34,3,1,1,0.771338672335057,1,0.784099070850192,"Cam Little 34 yd FG GOOD",0.999169724134395,0.0382921,"1",2,6,46,4,3,17,TRUE,"Field Goal Good"
"2","401403917104984701",7,401403917,"LSU","Florida",45,35,"Damian Ramos",47,3,1,1,0.545617805175857,1,0.555876203906891,"Damian Ramos 47 yd FG GOOD",1.93147986984177,0.0079244,"2",4,1,52,4,14,30,TRUE,"Field Goal Good"
"3","401403918102999601",7,401403918,"Vanderbilt","Georgia",0,28,"Joseph Bulovas",44,0,0,1,0.601806172147826,1,0.601806172147826,"Joseph Bulovas 44 yd FG MISSED",-1.80541851644348,NA,"1",2,0,3,2,19,27,FALSE,"Field Goal Missed"
"4","401403918103909001",7,401403918,"Georgia","Vanderbilt",31,0,"Jack Podlesny",28,3,1,1,0.860213325209804,1,0.879595847636973,"Jack Podlesny 28 yd FG GOOD",0.221165961624281,0.0052416,"2",3,9,9,4,5,11,TRUE,"Field Goal Good"
"5","401403918103985901",7,401403918,"Georgia","Vanderbilt",34,0,"Jack Podlesny",35,3,1,1,0.755512505868963,1,0.783863594659008,"Jack Podlesny 35 yd FG GOOD",0.560071197673736,0.003156,"2",3,1,40,4,9,18,TRUE,"Field Goal Good"
"6","401403919102917301",7,401403919,"Mississippi State","Kentucky",3,0,"Massimo Biscardi",48,3,1,1,0.525812504955746,1,0.550278303252643,"Massimo Biscardi 48 yd FG GOOD",2.44665600180332,0.1089806,"1",2,8,26,4,9,31,TRUE,"Field Goal Good"
"7","401403919102984701",7,401403919,"Kentucky","Mississippi State",0,3,"Matt Ruffolo",51,0,0,1,0.463390313952914,1,0.473428891181677,"Matt Ruffolo 51 yd FG MISSED",-1.78824246844319,-0.0470477,"1",2,1,52,4,8,34,FALSE,"Field Goal Missed"
"8","401403919102999501",7,401403919,"Kentucky","Mississippi State",3,3,"Matt Ruffolo",28,3,1,1,0.860213325209804,1,0.860213325209804,"Matt Ruffolo 28 yd FG GOOD",0.419360024370589,-0.0620854,"1",2,0,4,3,4,11,TRUE,"Field Goal Good"
"9","401403919103886501",7,401403919,"Kentucky","Mississippi State",6,3,"Matt Ruffolo",37,3,1,1,0.722965405698557,1,0.750724028620689,"Matt Ruffolo 37 yd FG GOOD",1.16939966679824,0.03733,"2",3,11,34,4,2,20,TRUE,"Field Goal Good"
"10","401403920102999901",7,401403920,"Auburn","Ole Miss",17,28,"Anders Carlson",42,3,1,1,0.63737112952654,1,0.63737112952654,"Anders Carlson 42 yd FG GOOD",1.08788661142038,0.0050829,"1",2,0,0,4,2,25,TRUE,"Field Goal Good"
