"","id_play","Week","game_id","pos_team","def_pos_team","pos_team_score","def_pos_team_score","kicker_player_name","yds_fg","pts_scored","fgm","fga","fg_make_prob","fg_inds","FG_before","play_text","EPA","wpa","half","period","clock.minutes","clock.seconds","down","distance","yards_to_goal","fg_made","play_type"
"1","401403909102998701",6,401403909,"Alabama","Texas A&M",17,14,"Will Reichard",50,3,1,1,0.484598845866931,1,0.492283815034999,"Will Reichard 50 yd FG GOOD",2.12705248511751,0.0628873,"1",2,0,12,4,14,33,TRUE,"Field Goal Good"
"2","401403909103948001",6,401403909,"Texas A&M","Alabama",17,24,"Randy Bond",41,3,1,1,0.654842744631629,1,0.681238460154789,"Randy Bond 41 yd FG GOOD",1.83992196793862,0.0451552,"2",3,5,19,4,7,24,TRUE,"Field Goal Good"
"3","401403909103995701",6,401403909,"Alabama","Texas A&M",24,17,"Will Reichard",47,0,0,1,0.545617805175857,1,0.579303086120608,"Will Reichard 47 yd FG MISSED",-1.91976728457202,-0.0088639,"2",3,0,42,4,14,30,FALSE,"Field Goal Missed"
"4","401403909104908401",6,401403909,"Alabama","Texas A&M",24,17,"Will Reichard",35,0,0,1,0.755512505868963,1,0.773949053405178,"Will Reichard 35 yd FG MISSED",-2.49730820652591,-0.0299761,"2",4,9,15,4,14,18,FALSE,"Field Goal Missed"
"5","401403909104966701",6,401403909,"Texas A&M","Alabama",20,24,"Randy Bond",45,3,1,1,0.58355174014756,1,0.59732013296183,"Randy Bond 45 yd FG GOOD",1.92655711362963,0.0456282,"2",4,3,32,4,18,28,TRUE,"Field Goal Good"
"6","401403910101974101",6,401403910,"Florida","Missouri",3,0,"Adam Mihalek",37,3,1,1,0.722965405698557,1,0.747808173316972,"Adam Mihalek 37 yd FG GOOD",1.23405942859515,0.0426107,"1",1,2,58,4,6,20,TRUE,"Field Goal Good"
"7","401403910102906801",6,401403910,"Florida","Missouri",10,0,"Adam Mihalek",50,0,0,1,0.484598845866931,1,0.514882660391078,"Adam Mihalek 50 yd FG MISSED",-1.77446014044858,-0.0095351,"1",2,9,31,4,5,33,FALSE,"Field Goal Missed"
"8","401403910102906812",6,401403910,"Florida","Missouri",10,0,"Adam Mihalek",50,0,0,1,0.484598845866931,1,0.514882660391078,"Adam Mihalek 50 yd FG MISSED",-5.0633352299587,-0.1140555,"1",2,9,31,4,5,33,FALSE,"Field Goal Missed"
"9","401403910102997901",6,401403910,"Missouri","Florida",10,10,"Harrison Mevis",28,3,1,1,0.860213325209804,1,0.86293623887848,"Harrison Mevis 28 yd FG GOOD",0.504216631103895,-0.0567521,"1",2,0,20,4,11,11,TRUE,"Field Goal Good"
"10","401403910103879401",6,401403910,"Florida","Missouri",10,10,"Adam Mihalek",47,0,0,1,0.545617805175857,1,0.58225947586596,"Adam Mihalek 47 yd FG MISSED",-2.0754030961738,-0.0705752,"2",3,12,5,4,11,30,FALSE,"Field Goal Missed"
"11","401403911101978101",6,401403911,"Georgia","Auburn",0,0,"Jack Podlesny",47,0,0,1,0.545617805175857,1,0.577775580392925,"Jack Podlesny 47 yd FG MISSED",-2.23487528838478,-0.0416618,"1",1,2,18,4,10,30,FALSE,"Field Goal Missed"
"12","401403911103884801",6,401403911,"Auburn","Georgia",3,14,"Anders Carlson",29,3,1,1,0.846304110922688,1,0.86232881504456,"Anders Carlson 29 Yd Field Goal ",0.672672141083511,-0.005826,"2",3,11,51,4,3,12,TRUE,"Field Goal Good"
"13","401403912101987701",6,401403912,"Kentucky","South Carolina",0,7,"Matt Ruffolo",45,0,0,1,0.58355174014756,1,0.611550377165524,"Matt Ruffolo 45 yd FG MISSED",-2.50937107127352,-0.0290458,"1",1,1,22,4,8,28,FALSE,"Field Goal Missed"
"14","401403912103976101",6,401403912,"South Carolina","Kentucky",17,7,"Mitch Jeter",32,3,1,1,0.802171025258863,1,0.82293158730249,"Mitch Jeter 32 yd FG GOOD",0.705679195580685,0.0305399,"2",3,2,38,4,3,15,TRUE,"Field Goal Good"
"15","401403913101889102",6,401403913,"Tennessee","LSU",10,0,"Chase McGrath",35,3,1,1,0.755512505868963,1,0.782501587669187,"Chase McGrath 35 yd FG GOOD",0.877686548268504,0.0228744,"1",1,11,8,4,2,18,TRUE,"Field Goal Good"
"16","401403913101977301",6,401403913,"Tennessee","LSU",13,0,"Chase McGrath",38,3,1,1,0.706259503651492,1,0.73432455748322,"Chase McGrath 38 yd FG GOOD",1.15398802368894,0.0431469,"1",1,2,26,4,8,21,TRUE,"Field Goal Good"
"17","401403913102994201",6,401403913,"Tennessee","LSU",20,7,"Chase McGrath",50,0,0,1,0.484598845866931,1,0.494883886808217,"Chase McGrath 50 yd FG MISSED",-1.72762724450774,-0.0500992,"1",2,0,57,4,7,33,FALSE,"Field Goal Missed"
"18","401403913102999901",6,401403913,"Tennessee","LSU",23,7,"Chase McGrath",32,3,1,1,0.802171025258863,1,0.802171025258863,"Chase McGrath 32 yd FG GOOD",0.59348692422341,0.018424,"1",2,0,0,2,10,15,TRUE,"Field Goal Good"
"19","401403913104976001",6,401403913,"Tennessee","LSU",40,13,"Chase McGrath",32,3,1,1,0.802171025258863,1,0.8119765619806,"Chase McGrath 32 yd FG GOOD",0.586399639449831,0.0002024,"2",4,2,39,4,4,15,TRUE,"Field Goal Good"
"20","401403914102944301",6,401403914,"Arkansas","Mississippi State",3,21,"Cam Little",51,3,1,1,0.463390313952914,1,0.480102311984157,"Cam Little 51 yd FG GOOD",3.10284782959953,0.0158995,"1",2,5,56,4,10,34,TRUE,"Field Goal Good"
"21","401403914102998601",6,401403914,"Mississippi State","Arkansas",21,10,"Ben Raybon",40,0,0,1,0.672158198655559,1,0.678539595232162,"Ben Raybon 40 yd FG MISSED",-2.3061962946096,-0.0573749,"1",2,0,13,4,3,23,FALSE,"Field Goal Missed"
"22","401403915101888201",6,401403915,"Ole Miss","Vanderbilt",3,0,"Jonathan Cruz",35,3,1,1,0.755512505868963,1,0.78097229782605,"Jonathan Cruz 35 yd FG GOOD",0.989338025785746,0.1074078,"1",1,11,17,4,10,18,TRUE,"Field Goal Good"
"23","401403915101939101",6,401403915,"Vanderbilt","Ole Miss",3,3,"Joseph Bulovas",23,3,1,1,0.91858831898569,1,0.928411244384742,"Joseph Bulovas 23 yd FG GOOD",0.267194645176814,-0.00883,"1",1,6,8,4,5,6,TRUE,"Field Goal Good"
"24","401403915102887701",6,401403915,"Vanderbilt","Ole Miss",13,3,"Joseph Bulovas",34,3,1,1,0.771338672335057,1,0.790824732831495,"Joseph Bulovas 34 yd FG GOOD",0.880332337539515,0.0300153,"1",2,11,22,4,6,17,TRUE,"Field Goal Good"
"25","401404008101948601",6,401404008,"Arizona","Oregon",3,0,"Tyler Loop",38,3,1,1,0.706259503651492,1,0.732965071756285,"Tyler Loop 38 yd FG GOOD",1.31950078874151,0.0365576,"1",1,5,13,4,3,21,TRUE,"Field Goal Good"
"26","401404008102999901",6,401404008,"Arizona","Oregon",13,28,"Tyler Loop",36,3,1,1,0.739389182808909,1,0.739389182808909,"Tyler Loop 36 yd FG GOOD",0.781832451573273,-0.0291303,"1",2,0,0,1,10,19,TRUE,"Field Goal Good"
"27","401404008103997101",6,401404008,"Arizona","Oregon",16,49,"Tyler Loop",30,3,1,1,0.831930173180296,1,0.843134793830562,"Tyler Loop 30 yd FG GOOD",0.983494321141456,0.001778,"2",3,0,28,4,10,13,TRUE,"Field Goal Good"
"28","401404009101964201",6,401404009,"Arizona State","Washington",3,7,"Carter Brown",53,3,1,1,0.420541571384803,1,0.453901571858938,"Carter Brown 53 yd FG GOOD",3.5274265738293,0.0902572,"1",1,3,57,4,6,36,TRUE,"Field Goal Good"
"29","401404009102868401",6,401404009,"Washington","Arizona State",10,3,"Peyton Henry",27,3,1,1,0.873530423694007,1,0.886304153465907,"Peyton Henry 27 yd FG GOOD",0.431479765974998,0.0226153,"1",2,13,15,4,9,10,TRUE,"Field Goal Good"
"30","401404010101909201",6,401404010,"Oregon State","Stanford",0,0,"Atticus Sappington",40,0,0,1,0.672158198655559,1,0.702141268214327,"Atticus Sappington 40 yd FG MISSED",-2.2434874380791,-0.0607969,"1",1,9,7,4,12,23,FALSE,"Field Goal Missed"
"31","401404010102915501",6,401404010,"Stanford","Oregon State",10,7,"Joshua Karty",47,3,1,1,0.545617805175857,1,0.569986915721704,"Joshua Karty 47 Yd Field Goal ",2.32344682352743,0.1023073,"1",2,8,44,4,5,30,TRUE,"Field Goal Good"
"32","401404010103929601",6,401404010,"Oregon State","Stanford",10,17,"Atticus Sappington",40,3,1,1,0.672158198655559,1,0.698456598139455,"Atticus Sappington 40 Yd Field Goal ",1.70906648653984,0.0307885,"2",3,7,3,4,15,23,TRUE,"Field Goal Good"
"33","401404010104994101",6,401404010,"Stanford","Oregon State",27,22,"Joshua Karty",46,3,1,1,0.564850075597405,1,0.572900628029739,"Joshua Karty 46 Yd Field Goal ",1.79344081999694,0.0267867,"2",4,0,58,4,8,29,TRUE,"Field Goal Good"
"34","401404011102899901",6,401404011,"Utah","UCLA",3,7,"Jordan Noyes",23,3,1,1,0.91858831898569,1,0.925535807172552,"Jordan Noyes 23 yd FG GOOD",0.303622472577365,0.0014955,"1",2,10,0,4,4,6,TRUE,"Field Goal Good"
"35","401404011102989404",6,401404011,"UCLA","Utah",14,10,"Nicholas Barr-Mira",21,0,0,1,0.935497140534419,1,0.937200796293439,"Nicholas Barr-Mira 21 yd FG MISSED  for a 1ST down",-3.40687285318198,-0.1277457,"1",2,1,5,4,3,4,FALSE,"Field Goal Missed"
"36","401404011102999801",6,401404011,"Utah","UCLA",10,14,"Jordan Noyes",43,0,0,1,0.619714572628981,1,0.619714572628981,"Jordan Noyes 43 yd FG MISSED",-1.85914371788694,NA,"1",2,0,1,3,10,26,FALSE,"Field Goal Missed"
"37","401404012101966701",6,401404012,"USC","Washington State",10,0,"Denis Lynch",31,3,1,1,0.817196105671127,1,0.837036809303697,"Denis Lynch 31 yd FG GOOD",0.630532063312135,0.0211526,"1",1,3,32,4,10,14,TRUE,"Field Goal Good"
"38","401404012104909001",6,401404012,"USC","Washington State",27,14,"Denis Lynch",27,3,1,1,0.873530423694007,1,0.884665705825412,"Denis Lynch 27 yd FG GOOD",0.397619386186311,0.0152161,"2",4,9,9,4,10,10,TRUE,"Field Goal Good"
"39","401404012104979101",6,401404012,"USC","Washington State",30,14,"Denis Lynch",31,3,1,1,0.817196105671127,1,0.82487324857408,"Denis Lynch 31 yd FG GOOD",0.594067072820141,0.0008243,"2",4,2,8,4,3,14,TRUE,"Field Goal Good"
"40","401404088101907701",6,401404088,"Iowa State","Kansas State",3,7,"Jace Gilbert",35,3,1,1,0.755512505868963,1,0.77884627001496,"Jace Gilbert 35 yd FG GOOD",1.11206624511734,NA,"1",1,9,22,4,7,18,TRUE,"Field Goal Good"
"41","401404088102855201",6,401404088,"Iowa State","Kansas State",6,7,"Jace Gilbert",44,3,1,1,0.601806172147826,1,0.629216267035751,"Jace Gilbert 44 yd FG GOOD",2.10836753336565,0.0638581,"1",2,14,47,4,7,27,TRUE,"Field Goal Good"
"42","401404088103938401",6,401404088,"Kansas State","Iowa State",7,6,"Chris Tennant",33,0,0,1,0.786885522472235,1,0.808891899761469,"Chris Tennant 33 yd FG MISSED",-2.26295062455136,-0.0547838,"2",3,6,15,4,2,16,FALSE,"Field Goal Missed"
"43","401404088103995101",6,401404088,"Iowa State","Kansas State",9,7,"Jace Gilbert",43,3,1,1,0.619714572628981,1,0.648072389463364,"Jace Gilbert 43 yd FG GOOD",1.92070791127777,0.1104022,"2",3,0,48,4,2,26,TRUE,"Field Goal Good"
"44","401404088104928501",6,401404088,"Kansas State","Iowa State",10,9,"Chris Tennant",30,3,1,1,0.831930173180296,1,0.842947345249045,"Chris Tennant 30 yd FG GOOD",0.65925450868007,0.0522528,"2",4,7,14,4,4,13,TRUE,"Field Goal Good"
"45","401404089101895301",6,401404089,"TCU","Kansas",3,0,"Griffin Kell",39,3,1,1,0.689308840183122,1,0.718888444436675,"Griffin Kell 39 yd FG GOOD",1.37519902536874,0.0319318,"1",1,10,46,4,7,22,TRUE,"Field Goal Good"
"46","401404089102996301",6,401404089,"Kansas","TCU",3,10,"Jacob Borcila",40,3,1,1,0.672158198655559,1,0.677483061551122,"Jacob Borcila 40 yd FG GOOD",1.31712319509031,0.0010827,"1",2,0,36,4,11,23,TRUE,"Field Goal Good"
"47","401404089104919601",6,401404089,"Kansas","TCU",24,31,"Jacob Borcila",31,0,0,1,0.817196105671127,1,0.82911783207526,"Jacob Borcila 31 yd FG MISSED",-3.33273888459285,-0.0868374,"2",4,8,3,4,9,14,FALSE,"Field Goal Missed"
